seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1341	38.114881	-5.522789	384.75	384.75	0.00	8.63	-1.68	29.85	0	150	106	101	0	43.13	10.18	11.10	10.18	10.41	2.726	44.200	24	1
1342	38.114649	-5.522617	384.25	384.25	0.00	7.79	-1.69	14.82	68	141	105	121	0	31.45	11.41	10.18	11.41	4.83	2.729	44.230	14	1
1343	38.114545	-5.522511	384.00	384.00	0.00	6.05	0.00	8.81	23	127	125	119	0	20.96	11.80	11.41	11.41	2.78	2.730	44.245	4	0
1344	38.114497	-5.522431	383.75	384.00	0.25	1.28	0.00	12.12	30	97	106	132	0	23.84	18.04	11.41	13.95	3.37	2.731	44.254	1	2
1345	38.114483	-5.522294	384.00	384.00	0.00	-1.08	3.73	13.42	56	84	129	109	0	80.00	10.31	13.95	11.97	3.77	2.732	44.266	2	2
1346	38.114496	-5.522142	384.50	384.50	0.00	-3.23	3.94	12.71	69	71	124	106	0	80.00	9.78	11.97	10.37	4.16	2.733	44.279	2	2
1347	38.114533	-5.522005	385.00	385.00	0.00	-4.58	7.51	13.36	70	63	160	144	0	80.00	7.32	10.37	7.32	5.84	2.734	44.292	24	2
1348	38.114588	-5.521870	386.00	386.00	0.00	-6.43	8.16	12.30	48	50	160	159	0	80.00	7.17	7.32	7.17	6.17	2.736	44.305	24	1
1349	38.114659	-5.521763	387.00	387.00	0.00	-8.36	8.73	46.00	0	33	160	160	0	80.00	7.32	7.17	7.32	22.63	2.737	44.318	14	1
1350	38.115004	-5.521476	391.00	391.00	0.00	-9.41	6.18	63.59	0	20	144	148	0	80.00	9.96	7.32	9.96	23.53	2.744	44.364	14	2
1351	38.115542	-5.521231	396.75	394.92	-1.83	-7.29	3.57	15.39	23	43	116	135	0	30.29	11.50	9.96	11.50	5.04	2.750	44.427	14	1
1352	38.115643	-5.521111	397.50	395.47	-2.03	0.87	-0.46	15.23	20	95	90	112	0	19.51	19.51	11.50	14.57	4.17	2.751	44.443	1	2
1353	38.115631	-5.520938	397.00	395.40	-1.60	6.51	-0.46	33.27	0	131	123	109	0	40.25	11.99	14.57	11.99	9.32	2.753	44.458	24	2
1354	38.115436	-5.520650	395.25	395.25	0.00	1.99	-1.12	22.29	44	101	77	96	0	29.08	18.88	11.99	15.43	5.80	2.755	44.491	1	2
1355	38.115396	-5.520401	395.00	395.00	0.00	-2.92	1.60	78.05	0	73	103	106	0	80.00	15.78	15.43	15.78	17.82	2.757	44.513	14	1
1356	38.115601	-5.519550	396.25	396.25	0.00	-3.73	2.19	11.91	42	68	106	90	0	80.00	13.34	15.78	15.07	2.83	2.762	44.591	2	1
1357	38.115641	-5.519424	396.25	396.51	0.26	-7.56	2.19	13.66	22	41	101	103	0	80.00	14.94	15.07	15.07	3.26	2.763	44.603	4	0
1358	38.115734	-5.519322	396.50	396.81	0.31	-10.00	4.09	16.89	40	359	121	103	0	80.00	13.21	15.07	13.83	4.25	2.763	44.617	2	2
1359	38.115886	-5.519326	397.50	397.50	0.00	-9.96	3.36	28.21	0	355	114	103	0	33.59	14.71	13.83	13.83	7.35	2.765	44.634	4	0
1360	38.116139	-5.519355	399.25	398.45	-0.80	-9.71	-0.16	12.81	30	14	13	60	0	23.96	23.96	13.83	15.96	3.06	2.767	44.662	1	2
1361	38.116251	-5.519320	399.50	398.43	-1.07	-7.33	-4.02	12.13	30	43	-207	0	0	24.06	24.06	15.96	18.99	2.49	2.768	44.675	10	2
1362	38.116331	-5.519226	399.50	397.94	-1.56	-5.07	-4.02	14.46	66	60	-229	0	0	35.35	35.35	18.99	21.88	2.54	2.768	44.687	10	2
1363	38.116397	-5.519084	398.50	397.36	-1.14	-3.91	-7.26	15.38	44	67	-441	0	0	28.75	28.75	21.88	26.76	2.27	2.769	44.701	10	3
1364	38.116451	-5.518923	396.75	396.24	-0.51	1.63	-10.44	19.22	42	99	-470	0	-470	28.18	28.18	26.76	28.18	2.47	2.770	44.717	105	1
