lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
36.504940	-4.947560	12.50	12.00	0.00	0.89	56.35	2.315	0	0	100	80	0	16.51	80.00	19.98	17.08	11.03	0.130	3	96
36.505440	-4.947670	13.00	13.00	0.00	1.13	88.22	2.403	0	0	103	96	0	15.63	80.00	17.08	15.63	20.00	0.136	34	97
36.506220	-4.947860	14.00	14.00	0.00	0.00	42.93	2.446	0	0	90	113	0	20.00	80.00	15.63	18.64	8.94	0.139	1	98
36.506600	-4.947950	14.00	13.00	0.00	1.50	47.46	2.493	0	0	106	85	0	14.44	80.00	18.64	15.18	10.22	0.141	3	99
36.507020	-4.948050	14.71	14.00	0.00	1.50	19.20	2.512	0	0	106	90	0	14.44	80.00	15.18	14.44	4.70	0.143	34	100
36.507190	-4.948090	15.00	15.00	0.00	0.00	49.64	2.562	0	0	90	113	0	20.00	80.00	14.44	18.52	10.68	0.146	1	101
36.507630	-4.948190	15.00	15.00	0.00	2.54	39.35	2.601	0	0	115	80	0	11.80	80.00	18.52	12.86	9.43	0.148	3	102
36.507980	-4.948260	16.00	16.00	0.00	0.00	23.46	2.625	0	0	90	113	0	20.00	80.00	12.86	16.07	5.79	0.150	1	103
36.508190	-4.948290	16.00	16.00	0.00	0.00	29.07	2.654	0	0	90	113	0	20.00	80.00	16.07	18.12	6.09	0.152	1	104
36.508450	-4.948330	16.00	16.00	0.00	-2.14	27.76	2.682	0	0	3	45	0	25.00	80.00	18.12	20.55	5.16	0.153	1	105
36.508700	-4.948340	15.40	16.00	0.00	-0.28	18.87	2.701	0	0	86	108	0	21.22	80.00	20.55	21.04	3.27	0.154	1	106
36.508870	-4.948340	15.35	15.00	0.00	0.00	26.65	2.727	0	0	90	72	0	20.00	80.00	21.04	20.37	4.63	0.155	3	107
36.509110	-4.948330	15.35	15.00	0.00	1.32	15.64	2.743	0	0	104	33	0	15.00	80.00	20.37	18.15	2.96	0.156	3	108
36.509250	-4.948310	15.56	15.00	0.00	1.58	12.34	2.755	0	0	107	85	0	14.21	80.00	18.15	17.09	2.52	0.157	3	109
36.509360	-4.948290	15.75	16.00	0.00	1.58	15.64	2.771	0	0	107	85	0	14.21	80.00	17.09	15.90	3.41	0.158	3	110
36.509500	-4.948270	16.00	16.00	0.00	3.81	26.30	2.797	0	0	125	100	0	9.72	80.00	15.90	10.81	7.25	0.160	3	111
36.509730	-4.948200	17.00	17.00	0.00	5.10	19.64	2.817	0	0	136	122	0	8.36	80.00	10.81	8.36	7.92	0.162	34	112
36.509900	-4.948140	18.00	18.00	0.00	4.10	24.40	2.841	0	0	127	133	0	9.35	80.00	8.36	9.35	9.51	0.164	14	113
36.510110	-4.948060	19.00	19.00	0.00	3.80	18.13	2.859	0	0	125	129	0	9.73	80.00	9.35	9.73	6.73	0.166	14	114
36.510260	-4.947980	19.69	20.00	0.00	1.14	8.22	2.868	0	0	103	129	0	15.61	80.00	9.73	11.78	2.73	0.167	1	115
36.510330	-4.947950	19.78	20.00	0.00	1.14	19.14	2.887	0	0	103	129	0	15.61	80.00	11.78	14.24	5.26	0.169	1	116
36.510490	-4.947870	20.00	20.00	0.00	0.00	6.16	2.893	0	0	90	113	0	20.00	80.00	14.24	15.02	1.52	0.169	1	117
36.510540	-4.947840	20.00	20.00	0.00	0.00	11.34	2.904	0	0	90	113	0	20.00	80.00	15.02	16.19	2.62	0.170	1	118
36.510630	-4.947780	20.00	20.00	0.00	3.28	20.31	2.925	0	0	121	97	0	10.46	80.00	16.19	12.73	5.10	0.171	3	119
36.510790	-4.947670	20.67	20.00	0.00	4.49	40.65	2.965	0	0	131	120	0	8.93	80.00	12.73	8.93	15.23	0.175	34	120
36.511090	-4.947410	22.49	22.00	0.00	6.79	11.43	2.977	0	0	149	137	0	7.23	80.00	8.93	7.23	5.42	0.177	34	121
36.511170	-4.947330	23.26	23.00	0.00	6.79	10.89	2.988	0	0	149	149	0	7.23	80.00	7.23	7.23	5.42	0.178	4	122
36.511250	-4.947260	24.00	24.00	0.00	4.55	21.98	3.010	0	0	131	138	0	8.86	80.00	7.23	8.86	9.22	0.181	14	123
36.511400	-4.947100	25.00	25.00	0.00	3.61	15.69	3.025	0	0	123	134	0	9.98	80.00	8.86	9.98	5.79	0.183	14	124
36.511510	-4.946990	25.57	26.00	0.00	3.61	39.79	3.065	0	0	123	123	0	9.98	80.00	9.98	9.98	14.35	0.187	4	125
36.511750	-4.946660	27.00	27.00	0.00	4.49	22.32	3.087	0	0	131	124	0	8.93	80.00	9.98	8.93	8.86	0.189	34	126
36.511880	-4.946470	28.00	28.00	0.00	1.94	20.21	3.108	0	0	110	137	0	13.21	80.00	8.93	12.59	6.56	0.191	1	127
36.511990	-4.946290	28.39	29.00	0.00	1.94	31.45	3.139	0	0	110	116	0	13.21	80.00	12.59	13.21	8.62	0.193	14	128
36.512150	-4.946000	29.00	29.00	0.00	0.00	35.22	3.174	0	0	90	113	0	20.00	80.00	13.21	17.16	8.22	0.195	1	129
36.512310	-4.945660	29.00	29.00	0.00	4.15	217.20	3.391	0	0	128	124	0	9.30	80.00	17.16	9.30	80.80	0.218	34	130
