seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
68	37.997663	-5.758688	516.50	517.69	1.19	0.00	7.29	47.70	0	0	150	147	0	6.80	80.00	10.26	6.80	24.18	0.349	6.660	24	3
69	37.998071	-5.758854	521.50	521.16	-0.34	0.00	7.24	43.50	0	0	150	149	0	6.84	80.00	6.80	6.80	23.02	0.356	6.708	4	1
70	37.998460	-5.758902	525.25	524.30	-0.95	0.00	6.36	56.44	0	0	146	146	0	7.42	80.00	6.80	7.42	27.49	0.362	6.752	14	2
71	37.998964	-5.758827	528.25	527.88	-0.37	0.00	1.91	143.59	0	0	116	121	0	13.59	80.00	7.42	13.59	40.33	0.370	6.808	14	5
72	38.000213	-5.758402	530.75	530.63	-0.12	0.00	2.55	41.75	0	0	121	114	0	12.08	80.00	13.59	12.08	11.99	0.381	6.952	24	2
73	38.000543	-5.758174	530.00	531.70	1.70	0.00	4.59	91.74	0	0	134	131	0	8.93	80.00	12.08	8.93	35.85	0.385	6.993	24	3
74	38.001121	-5.757428	536.75	535.90	-0.85	0.00	2.01	41.05	0	0	117	129	0	13.34	80.00	8.93	13.29	12.65	0.395	7.085	1	3
75	38.001472	-5.757281	537.25	536.73	-0.52	0.00	0.13	121.63	0	0	102	112	0	19.44	80.00	13.29	19.47	25.33	0.398	7.126	1	4
76	38.002564	-5.757396	537.25	536.89	-0.36	0.00	-1.01	31.52	0	0	66	73	0	22.04	80.00	19.47	20.37	5.64	0.405	7.248	1	1
77	38.002833	-5.757281	536.25	536.57	0.32	0.00	1.02	31.35	0	0	110	54	0	16.25	80.00	20.37	17.15	6.32	0.407	7.279	2	3
78	38.003058	-5.757065	536.25	536.89	0.64	0.00	1.08	113.09	0	0	110	107	0	16.06	80.00	17.15	16.06	25.06	0.408	7.311	24	2
79	38.003729	-5.756095	538.00	538.11	0.11	0.00	1.25	28.60	0	0	112	103	0	15.50	80.00	16.06	15.50	6.55	0.415	7.424	24	2
80	38.003878	-5.755829	539.25	538.46	-0.79	0.00	-1.03	24.19	0	0	65	71	0	22.06	80.00	15.50	17.48	5.22	0.417	7.452	1	2
81	38.003957	-5.755572	538.25	538.21	-0.04	0.00	-3.24	25.15	0	0	0	60	0	29.55	39.12	17.48	21.50	4.60	0.419	7.477	1	3
82	38.003987	-5.755288	538.50	537.40	-1.10	0.00	-3.96	102.48	0	0	0	26	0	33.51	38.48	21.50	29.22	13.94	0.420	7.502	1	5
83	38.003870	-5.754130	533.50	533.34	-0.16	0.00	-4.85	47.45	0	0	-3	0	0	37.68	37.68	29.22	31.89	5.55	0.424	7.604	10	2
84	38.003885	-5.753590	530.50	531.04	0.54	0.00	-3.13	51.86	0	0	0	0	0	28.93	39.21	31.89	31.09	5.99	0.425	7.652	20	1
85	38.004011	-5.753021	529.50	529.42	-0.08	0.00	-2.20	61.76	0	0	14	0	0	24.27	40.02	31.09	28.41	7.54	0.427	7.703	20	2
86	38.004318	-5.752434	529.00	528.06	-0.94	0.00	-5.15	33.08	0	0	-37	0	0	37.40	37.40	28.41	30.94	3.98	0.429	7.765	10	2
87	38.004537	-5.752179	526.00	526.36	0.36	0.00	-8.30	32.67	0	0	0	0	0	51.07	80.00	30.94	36.12	3.50	0.430	7.798	10	3
88	38.004789	-5.751989	521.75	523.66	1.91	0.00	0.15	100.12	0	0	102	21	0	19.37	80.00	36.12	23.40	12.72	0.431	7.831	2	8
89	38.005670	-5.751744	522.50	523.80	1.30	0.00	2.06	124.55	0	0	117	96	0	13.22	80.00	23.40	13.22	29.19	0.435	7.931	24	7
90	38.006653	-5.751060	525.25	526.37	1.12	0.00	7.46	43.14	0	0	150	145	0	6.67	80.00	13.22	6.67	20.66	0.443	8.056	24	5
91	38.007018	-5.750895	529.00	529.58	0.58	0.00	8.33	55.00	0	0	150	149	0	6.05	80.00	6.67	6.05	32.63	0.449	8.099	24	2
92	38.007510	-5.750842	533.00	534.14	1.14	0.00	10.30	45.75	0	0	150	149	0	5.00	80.00	6.05	5.00	32.76	0.458	8.154	24	2
93	38.007919	-5.750878	540.00	538.83	-1.17	0.00	6.69	35.93	0	0	148	149	0	7.21	80.00	5.00	7.21	18.42	0.467	8.200	14	3
94	38.008223	-5.751016	542.25	541.23	-1.02	0.00	3.16	39.39	0	0	125	133	0	10.91	80.00	7.21	10.91	14.08	0.472	8.235	14	4
95	38.008529	-5.751243	543.50	542.47	-1.03	0.00	-0.54	38.08	0	0	89	98	0	21.58	80.00	10.91	16.77	9.55	0.476	8.275	1	4
96	38.008785	-5.751532	542.00	542.27	0.27	0.00	1.30	43.99	0	0	112	101	0	15.35	80.00	16.77	15.30	9.86	0.478	8.313	2	1
97	38.009025	-5.751931	541.75	542.84	1.09	0.00	2.46	113.60	0	0	120	116	0	12.28	80.00	15.30	12.28	32.07	0.481	8.357	24	3
98	38.009545	-5.753046	545.00	545.63	0.63	0.00	4.64	44.11	0	0	134	128	0	8.88	80.00	12.28	8.88	16.62	0.490	8.471	24	3
99	38.009864	-5.753345	547.50	547.67	0.17	0.00	5.22	43.62	0	0	138	137	0	8.30	80.00	8.88	8.30	18.84	0.495	8.515	24	2
